age;edu_level;fav_animals;fav_place;gender
<18;Podstawowe;Brak ulubionych;;Kobieta
25-34;Średnie;Psy;Nad wodą;Mężczyzna
45-54;Wyższe;Psy;W lesie;Mężczyzna
35-44;Średnie;Koty;W górach;Mężczyzna
35-44;Wyższe;Psy;Nad wodą;Mężczyzna
25-34;Wyższe;Psy;W lesie;Mężczyzna
25-34;Wyższe;Koty;W górach;Mężczyzna
25-34;Wyższe;Brak ulubionych;W górach;Mężczyzna
45-54;Wyższe;Psy;W górach;Kobieta
18-24;Średnie;Koty;W górach;Mężczyzna
35-44;Wyższe;Brak ulubionych;W górach;Mężczyzna
25-34;Wyższe;Psy;W lesie;Kobieta
35-44;Wyższe;Psy;Nad wodą;Mężczyzna
35-44;Średnie;Inne;W górach;Mężczyzna
45-54;Wyższe;Inne;Nad wodą;Mężczyzna
35-44;Średnie;Koty;Nad wodą;Mężczyzna
>=65;Wyższe;Brak ulubionych;;Mężczyzna
45-54;Wyższe;Psy;W górach;Mężczyzna
35-44;Wyższe;Koty;;Mężczyzna
45-54;Wyższe;Koty i Psy;Nad wodą;Kobieta
35-44;Wyższe;Psy;Nad wodą;Mężczyzna
>=65;Wyższe;Brak ulubionych;W lesie;Kobieta
35-44;Wyższe;Psy;Nad wodą;Mężczyzna
35-44;Wyższe;Psy;Nad wodą;Mężczyzna
45-54;Średnie;Psy;Nad wodą;Mężczyzna
45-54;Wyższe;Psy;W lesie;Mężczyzna
35-44;Wyższe;Koty;W górach;Mężczyzna
35-44;Wyższe;Koty;W górach;Mężczyzna
25-34;Wyższe;Koty;W górach;Kobieta
25-34;Wyższe;Koty;W górach;Mężczyzna
55-64;Wyższe;Inne;;Mężczyzna
35-44;Średnie;Psy;Nad wodą;Kobieta
35-44;Wyższe;Koty;Nad wodą;Mężczyzna
25-34;Średnie;Inne;Inne;Mężczyzna
45-54;Średnie;Koty;Inne;Mężczyzna
25-34;Średnie;Psy;Nad wodą;Mężczyzna
25-34;Średnie;Inne;W górach;Mężczyzna
35-44;Wyższe;Brak ulubionych;Nad wodą;Mężczyzna
45-54;Średnie;Psy;W górach;Mężczyzna
25-34;Wyższe;Psy;W górach;Mężczyzna
45-54;Wyższe;Koty;W lesie;Mężczyzna
35-44;Wyższe;Psy;W górach;
35-44;Wyższe;Brak ulubionych;W lesie;Mężczyzna
35-44;Średnie;Psy;Nad wodą;Kobieta
